"sido","sigun","dong","구주소본번","구주소부번","street","새주소본번","새주소부번","건물명","상세건물명","X좌표","Y좌표"
"서울특별시","중랑구","망우동","435","34","용마산로100길","39","7","","","208861.3639","454655.163"
"서울특별시","중랑구","망우동","435","28","용마산로100길","33","6","","","208846.2391","454647.1778"
"서울특별시","중랑구","망우동","408","3","용마공원로4길","7","0","","","208916.4486","454952.2465"
"서울특별시","중랑구","망우동","418","5","용마공원로10길","11","0","","","208932.6502","454845.4426"
"서울특별시","중랑구","망우동","127","4","양원역로","12","0","","","209568.9847","455790.9352"
"서울특별시","중랑구","신내동","397","0","신내로","128","0","동성아파트","","208643.503","456668.448"
"서울특별시","중랑구","묵동","23","1","숙선옹주로","76","0","대한예수교장로회대명교회","","207513.2016","457286.4805"
"서울특별시","중랑구","상봉동","99","7","상봉중앙로","3","0","","","207748.8272","455317.4345"
"서울특별시","중랑구","면목동","71","24","상봉로","27","0","면목순찰지구대","","208291.7513","454298.0591"
"서울특별시","중랑구","중화동","10","13","봉화산로","98","0","","","207533.5852","455853.5366"
"서울특별시","중랑구","중화동","306","70","봉화산로","35","0","","","206911.9012","455797.297"
"서울특별시","중랑구","상봉동","85","58","봉우재로","173","0","","","208129.345","454949.8337"
"서울특별시","중랑구","중화동","308","104","중랑역로","111","0","","","206817.5489","455985.7739"
"서울특별시","중랑구","중화동","302","65","중랑역로","58","5"," "," ","206895.7165","455455.6303"
"서울특별시","중랑구","중화동","207","15","중랑역로","8","0","","","206799.4018","455039.0558"
"서울특별시","중랑구","망우동","421","12","용마공원로","29","5","","","209011.6346","454841.5039"
"서울특별시","중랑구","망우동","239","1","양원역로","50","0","송곡고등학교","","209401.0835","456256.5687"
"서울특별시","중랑구","망우동","127","5","양원역로","10","1","","","209567.9699","455776.6603"
"서울특별시","중랑구","묵동","246","21","동일로149나길","13","0","","","206725.9931","456390.8791"
"서울특별시","중랑구","묵동","245","30","동일로149가길","12","0","","","206840.4419","456408.4708"
"서울특별시","중랑구","면목동","186","117","망우로30길","46","15","","","206587.5675","454646.1311"
"서울특별시","중랑구","면목동","177","29","동일로99길","35","0","","","206868.5617","454248.4989"
"서울특별시","중랑구","면목동","158","11","동일로96길","30","3","","","207222.1644","453896.7876"
"서울특별시","중랑구","면목동","174","61","동일로95길","42","9","","","206799.2619","453963.2002"
"서울특별시","중랑구","면목동","157","22","동일로92길","39","19","","","207262.0299","453857.0036"
"서울특별시","중랑구","묵동","160","25","동일로172길","48","10","","","206946.258","457517.3683"
"서울특별시","중랑구","묵동","235","33","동일로169가길","25","0","","","206560.2255","457248.0893"
"서울특별시","중랑구","묵동","235","109","동일로169가길","8","0","새울센스빌","","206566.5915","457155.9521"
"서울특별시","중랑구","묵동","238","20","동일로163길","12","9","","","206730.7938","456959.3294"
"서울특별시","중랑구","묵동","239","66","동일로159길","13","0","","","206786.0562","456785.6018"
"서울특별시","중랑구","묵동","244","69","동일로157나길","8","12","","","206785.5238","456617.9932"
"서울특별시","중랑구","묵동","244","166","동일로157가길","15","0","묵동쉐르빌","","206844.4928","456621.8917"
"서울특별시","중랑구","면목동","156","18","동일로96나길","17","0","제이엔빌라","","207308.0455","453824.8511"
"서울특별시","중랑구","면목동","173","31","동일로95나길","12","36","","","206776.0932","453891.4404"
"서울특별시","중랑구","면목동","173","70","동일로95나길","9","0","","","206855.2978","453878.0918"
"서울특별시","중랑구","중화동","318","80","중랑천로30길","46","0","","","206583.9847","455313.9346"
"서울특별시","중랑구","중화동","326","103","중랑천로24길","15","0","","","206409.6028","455330.3677"
"서울특별시","중랑구","중화동","326","67","중랑천로24길","6","0","브라운하우스","B동","206412.5294","455287.6553"
"서울특별시","중랑구","중화동","324","109","중랑천로17길","17","0","","","206290.5583","455054.393"
"서울특별시","중랑구","중화동","324","70","중랑천로17길","11","10","","","206301.0138","455017.6034"
"서울특별시","중랑구","상봉동","136","28","중랑천로12길","4","0","지앤지홈타운","A동","206455.9267","454738.0539"
"서울특별시","중랑구","면목동","186","123","중랑천로10길","10","3","새계로교회","","206524.2627","454665.2149"
"서울특별시","중랑구","묵동","233","16","중랑역로47길","4","12","","","206624.134","457310.3699"
"서울특별시","중랑구","묵동","237","21","중랑역로43길","22","0","토토하우스"," ","206563.0997","457016.2917"
"서울특별시","중랑구","중화동","322","28","중랑역로3나길","29","0","","","206527.4096","455161.1659"
"서울특별시","중랑구","망우동","152","2","용마산로112길","84","0","삼성아트빌라","","209291.457","455477.6083"
"서울특별시","중랑구","망우동","182","51","용마산로112길","69","0","대승빌라","","209212.2395","455498.6873"
"서울특별시","중랑구","망우동","456","1","용마산로105길","15","0","","","208693.1353","454959.5378"
"서울특별시","중랑구","망우동","417","11","용마산로102길","37","5","","","208909.1916","454767.7778"
"서울특별시","중랑구","망우동","442","19","용마산로100길","8","12","","","208679.6508","454626.8653"
"서울특별시","중랑구","망우동","382","3","용마공원로3길","24","9","","","209004.1251","455123.9864"
"서울특별시","중랑구","망우동","418","33","용마공원로10가길","11","0","부흥해피빌","","208946.1162","454772.2965"
"서울특별시","중랑구","망우동","83","5","양원역로8길","26","0","","","209565.5933","456157.2836"
"서울특별시","중랑구","상봉동","63","0","신내로7나길","24","0","건영2차아파트","","208208.437","455709.7687"
"서울특별시","중랑구","묵동","10","0","신내로23길","21","0","","","207619.9978","457650.5832"
"서울특별시","중랑구","면목동","578","54","용마산로52길","18","0","","","208131.6605","453160.7214"
